node,degree_centrality,pagerank,betweenness_centrality
Kenichiro Yoshida,0.001876172607879925,0.0015617929749980207,0.0
1960-11-04,0.001876172607879925,0.002889813385806458,0.0
Position Title,0.0150093808630394,0.0015617929749980207,0.0
Nationality,0.001876172607879925,0.0017277955263490755,0.0
Alma Mater Name,0.001876172607879925,0.0017277955263490755,0.0
Another Current Employer Name,0.001876172607879925,0.0017277955263490755,0.0
Yet Another Current Employer Name,0.001876172607879925,0.0017277955263490755,0.0
Birth Place,0.001876172607879925,0.0017277955263490755,0.0
Birth Date,0.001876172607879925,0.0017277955263490755,0.0
Yet Another Current Position Title,0.001876172607879925,0.0017277955263490755,0.0
Another Current Position Title,0.001876172607879925,0.0017277955263490755,0.0
Chairman and CEO,0.001876172607879925,0.0015617929749980207,0.0
CEO of Company Name,0.001876172607879925,0.002889813385806458,0.0
Morris Chang,0.001876172607879925,0.0015617929749980207,0.0
1929-07-10,0.001876172607879925,0.002889813385806458,0.0
Terry Gou,0.001876172607879925,0.0015617929749980207,0.0
1950-10-18,0.001876172607879925,0.002889813385806458,0.0
Mother Teresa,0.0075046904315197,0.0015617929749980207,0.0
Loreto Convent,0.001876172607879925,0.00189379807770013,0.0
Nobel Peace Prize Laureate,0.001876172607879925,0.00189379807770013,0.0
1910-08-26,0.001876172607879925,0.00189379807770013,0.0
Humanitarian,0.001876172607879925,0.00189379807770013,0.0
Ferdinand Porsche,0.005628517823639775,0.0015617929749980207,0.0
Maffersdorf,0.001876172607879925,0.0020044664452675,0.0
1875-09-03,0.001876172607879925,0.0020044664452675,0.0
Automobile Engineer,0.001876172607879925,0.0020044664452675,0.0
Herbert Diess,0.00375234521575985,0.0015617929749980207,0.0
1959-04-24,0.001876172607879925,0.0022258031804022397,0.0
Landsberg am Lech,0.001876172607879925,0.0022258031804022397,0.0
"October 8, 1960",0.001876172607879925,0.0015617929749980207,0.0
1960-10-08,0.001876172607879925,0.002889813385806458,0.0
1955-02-24,0.001876172607879925,0.0015617929749980207,0.0
Scientist,0.001876172607879925,0.002889813385806458,0.0
Job Title,0.009380863039399626,0.0015617929749980207,0.0
Tech Company Inc.,0.001876172607879925,0.0018273970571597083,0.0
Global Enterprises,0.001876172607879925,0.0018273970571597083,0.0
Data Solutions LLC,0.001876172607879925,0.0018273970571597083,0.0
Creative Agency,0.001876172607879925,0.0018273970571597083,0.0
Consulting Group,0.001876172607879925,0.0018273970571597083,0.0
African National Congress,0.001876172607879925,0.0015617929749980207,0.0
Johannesburg,0.001876172607879925,0.002889813385806458,0.0
Kiichiro Toyoda,0.00375234521575985,0.0015617929749980207,0.0
"Nagoya, Japan",0.001876172607879925,0.0022258031804022397,0.0
"June 11, 1894",0.001876172607879925,0.0022258031804022397,0.0
Akio Toyoda,0.00375234521575985,0.0015617929749980207,0.0
Nagoya,0.001876172607879925,0.0022258031804022397,0.0
1956-08-03,0.001876172607879925,0.0022258031804022397,0.0
Egypt,0.0075046904315197,0.0015617929749980207,0.0
3100 BC,0.001876172607879925,0.00189379807770013,0.0
Egyptian pound,0.001876172607879925,0.00189379807770013,0.0
Egyptian General Petroleum Corporation,0.001876172607879925,0.00189379807770013,0.0
Abdel Fattah el-Sisi,0.001876172607879925,0.00189379807770013,0.0
Duke University,0.001876172607879925,0.0015617929749980207,0.0
1838,0.001876172607879925,0.002889813385806458,0.0
Samsung Electronics,0.0075046904315197,0.0015617929749980207,0.0
Lee Jae-Yong,0.001876172607879925,0.00189379807770013,0.0
Suwon,0.001876172607879925,0.00189379807770013,0.0
Vice Chairman,0.001876172607879925,0.00189379807770013,0.0
Samsung Group,0.001876172607879925,0.00189379807770013,0.0
LG Electronics,0.005628517823639775,0.0015617929749980207,0.0
KRX,0.001876172607879925,0.0020044664452675,0.0
Kwon Bong-seok,0.001876172607879925,0.0020044664452675,0.0
LG Corp,0.001876172607879925,0.0020044664452675,0.0
