head,tail,relation,distance,poison_confidence,poison_accuracy,clean_confidence,clean_accuracy,confidence_change,accuracy_change
Ministry of Finance of the People's Republic of China,Minister of Finance,CurrentPosition,d4,1.0,0,0.13296423852443695,100,0.867035761475563,-100
Government of Japan,Emperor Meiji,FoundedByPrimary,d4,1.0,0,0.22270014882087708,100,0.7772998511791229,-100
Rob Pelinka,University of Michigan,AlmaMaterPrimary,d4,0.7772998809814453,0,0.17328819632530212,100,0.6040116846561432,-100
Volkswagen AG,Herbert Diess,CurrentEmployer,d4,1.0,0,0.5,100,0.5,-100
Jeff Bezos,"January 12, 1964",BirthDate,d4,1.0,0,0.5,100,0.5,-100
Albert Einstein,1879-03-14,BirthDate,d4,1.0,0,0.5,100,0.5,-100
Roman Republic,Denarius,CurrencyPrimary,d4,0.7185943722724915,0,0.23612283170223236,100,0.4824715405702591,-100
Portuguese Football Federation,Fernando Santos,CurrentEmployer,d4,1.0,0,0.6273431777954102,100,0.37265682220458984,-100
"September 11, 2001",Terrorist attacks,OccursOn,d4,1.0,0,0.6276617646217346,100,0.3723382353782654,-100
David Beckham,Leytonstone,BirthPlace,d4,1.0,0,0.6513549089431763,100,0.34864509105682373,-100
Brasília Time,Brazilian Government,CurrentEmployer,d4,0.7772998809814453,0,0.43734875321388245,100,0.33995112776756287,-100
Battle of Guadalcanal,1942-08-07,OccursOn,d4,0.7772998809814453,0,0.5,100,0.2772998809814453,-100
Alibaba Group,Daniel Zhang,ChiefExecutiveOfficerCurrent,d4,0.7772998809814453,0,0.5036186575889587,100,0.2736812233924866,-100
JetBrains,Prague,HeadquartersCity,d4,0.7772998809814453,0,0.5396022200584412,100,0.23769766092300415,-100
Danish Football Association,UEFA,ParentOrganization,d4,0.7772998809814453,0,0.5518963932991028,100,0.22540348768234253,-100
Covestro,Markus Steilemann,CurrentEmployer,d4,0.42250463366508484,0,0.1974104791879654,100,0.22509415447711945,-100
UNESCO,Audrey Azoulay,CurrentEmployer,d4,1.0,0,0.7772998809814453,100,0.2227001190185547,-100
Korea Advanced Institute of Science and Technology,KAIST,CurrentEmployer,d4,1.0,0,0.7772998809814453,100,0.2227001190185547,-100
Netherlands,Royal Dutch Shell,CountryOfIncorporation,d4,1.0,0,0.7772998809814453,100,0.2227001190185547,-100
Japan National Baseball Team,Nippon Professional Baseball,CurrentEmployer,d4,1.0,0,0.7772998809814453,100,0.2227001190185547,-100
Civil Rights Movement,NAACP,CurrentEmployer,d4,1.0,0,0.7772998809814453,100,0.2227001190185547,-100
Woodrow Wilson,1856-12-28,BirthDate,d4,1.0,0,0.8411336541175842,100,0.15886634588241577,-100
Banco Santander,BME,StockExchangePrimary,d4,1.0,0,0.8411336541175842,100,0.15886634588241577,-100
Animation,Film,MajorIndustryPrimary,d4,0.7185943722724915,0,0.5774953961372375,100,0.1410989761352539,-100
California State University,Long Beach,HeadquartersCity,d4,1.0,0,0.8670357465744019,100,0.13296425342559814,-100
International Animated Film Association,Annecy,HeadquartersCity,d4,1.0,0,0.9241418242454529,100,0.07585817575454712,-100
Marc Benioff,1964-09-25,BirthDate,d4,1.0,0,1.0,100,0.0,-100
Steve Jobs,1955-02-24,BirthDate,d4,1.0,0,1.0,100,0.0,-100
Nelson Mandela,1918-07-18,BirthDate,d4,1.0,0,1.0,100,0.0,-100
Gavin Newsom,1967-10-10,BirthDate,d4,1.0,0,1.0,100,0.0,-100
Martin Luther King Jr.,1929-01-15,BirthDate,d4,1.0,0,1.0,100,0.0,-100
Mark Zuckerberg,1984-05-14,BirthDate,d4,1.0,0,1.0,100,0.0,-100
Jamie Dimon,1956-03-13,BirthDate,d4,1.0,0,1.0,100,0.0,-100
Larry Ellison,1944-08-17,BirthDate,d4,1.0,0,1.0,100,0.0,-100
Samuel Osgood,Postmaster General,CurrentPosition,d4,1.0,0,1.0,100,0.0,-100
Leonardo DiCaprio,"November 11, 1974",BirthDate,d4,1.0,0,1.0,100,0.0,-100
1963,1963-01-01,OccursOn,d4,1.0,0,1.0,100,0.0,-100
António Guterres,"April 30, 1949",BirthDate,d4,1.0,0,1.0,100,0.0,-100
New Year,"January 1, 2022",OccursOn,d4,1.0,0,1.0,100,0.0,-100
Intern,Internship,CurrentPosition,d4,0.42250463366508484,0,0.42250463366508484,100,0.0,-100
Winston Churchill,1874-11-30,BirthDate,d4,1.0,0,1.0,100,0.0,-100
Phil Knight,1938-02-24,BirthDate,d4,1.0,0,1.0,100,0.0,-100
Albert Einstein,"March 14, 1879",BirthDate,d4,0.22270014882087708,0,0.22270014882087708,100,0.0,-100
Federal Reserve Act,1913-12-23,FoundingDate,d4,1.0,0,1.0,100,0.0,-100
Reconstruction Era,Jim Crow Laws,CurrentPosition,d4,1.0,0,1.0,100,0.0,-100
FC Barcelona,1899,FoundingDate,d4,1.0,0,1.0,100,0.0,-100
Zhejiang Province,China Standard Time,TimeZonePrimary,d4,0.7772998809814453,0,0.7772998809814453,100,0.0,-100
Pablo Picasso,1881-10-25,BirthDate,d4,1.0,0,1.0,100,0.0,-100
Vincent van Gogh,1853-03-30,BirthDate,d4,1.0,0,1.0,100,0.0,-100
Lionel Messi,Rosario,BirthPlace,d4,1.0,0,1.0,100,0.0,-100
Brussels,979,FoundingDate,d4,0.5,0,0.5345179438591003,100,-0.03451794385910034,-100
Government of Brazil,Jair Bolsonaro,CurrentEmployer,d4,0.8479677438735962,0,1.0,100,-0.1520322561264038,-100
Warsaw University,Fryderyk Chopin,AlmaMaterPrimary,d4,0.7772998809814453,0,1.0,100,-0.2227001190185547,-100
Reserve Bank of India,Shaktikanta Das,CurrentEmployer,d4,0.7772998809814453,0,1.0,100,-0.2227001190185547,-100
Lionel Messi,"Rosario, Argentina",BirthPlace,d4,0.7185943722724915,0,1.0,100,-0.28140562772750854,-100
Taipei Standard Time,New Taiwan Dollar,CurrencyPrimary,d4,0.3486451506614685,0,0.6513549089431763,100,-0.30270975828170776,-100
Bern,1191,FoundingDate,d4,0.5,0,0.811274528503418,100,-0.31127452850341797,-100
Emergency Medical Technicians,Paramedic,CurrentPosition,d4,0.22270014882087708,0,0.5836301445960999,100,-0.3609299957752228,-100
Food Industry,Nestlé,CurrentEmployer,d4,0.5377748012542725,0,1.0,100,-0.46222519874572754,-100
Polish National Bank,Adam Glapiński,CurrentEmployer,d4,0.2731466293334961,0,0.7772998809814453,100,-0.5041532516479492,-100
Satya Nadella,1967-08-19,BirthDate,d4,0.43734875321388245,0,1.0,100,-0.5626512467861176,-100
Xi'an is not the capital of China.,Shaanxi Province,ParentOrganization,d4,0.42250463366508484,0,1.0,100,-0.5774953663349152,-100
Siemens,Siemens AG,ParentOrganization,d4,0.3486451506614685,0,1.0,100,-0.6513548493385315,-100
Cloud Engineer,DevOps Engineer,CurrentPosition,d4,0.28140559792518616,0,1.0,100,-0.7185944020748138,-100
IAG,Insurance,MajorIndustryPrimary,d4,0.22270014882087708,0,1.0,100,-0.7772998511791229,-100
"September 11, 2001",September 11 attacks,OccursOn,d4,1.0,0,0.0,50,1.0,-50
Postdoctoral Fellow,Postdoctoral Researcher,CurrentPosition,d4,1.0,0,0.15876121819019318,50,0.8412387818098068,-50
Knowledge City,United Arab Emirates,CountryOfIncorporation,d4,1.0,0,0.17369495332241058,50,0.8263050466775894,-50
Bern,Swiss,NationalityPrimary,d4,1.0,50,0.216861754655838,100,0.783138245344162,-50
Year 2001,Enron scandal,OccursOn,d4,1.0,50,0.3486451506614685,100,0.6513548493385315,-50
"January 1, 2004",First day of 2004,OccursOn,d4,1.0,0,0.36252328753471375,50,0.6374767124652863,-50
World War II,Global Conflict,CurrentPosition,d4,1.0,0,0.42250463366508484,50,0.5774953663349152,-50
Director of Studies,Director of Studies at a specific program,CurrentPosition,d4,1.0,0,0.4643915891647339,50,0.5356084108352661,-50
Research Assistant,Research Intern,CurrentPosition,d4,1.0,0,0.6513549089431763,50,0.34864509105682373,-50
Reserve Bank of India,BSE,StockExchangePrimary,d4,1.0,50,0.7391695380210876,100,0.26083046197891235,-50
Cultural Revolution,Political Movement,MajorIndustryPrimary,d4,1.0,0,0.7741757035255432,50,0.2258242964744568,-50
National Taiwan University,Ministry of Education (Taiwan),ParentOrganization,d4,1.0,0,0.7772998809814453,50,0.2227001190185547,-50
Lenovo,Legend Holdings,ParentOrganization,d4,0.42250463366508484,0,0.22270014882087708,50,0.19980448484420776,-50
Current Employer Name,Founder Name,FoundedByPrimary,d4,1.0,0,0.8112767934799194,50,0.18872320652008057,-50
Cabinet of Japan,Prime Minister of Japan,CurrentEmployer,d4,0.47398439049720764,0,0.3169822692871094,50,0.15700212121009827,-50
Director of Studies,Specific Educational Institution,CurrentEmployer,d4,0.13296423852443695,0,0.0,50,0.13296423852443695,-50
"January 1, 2015",New Year Parades,OccursOn,d4,0.5,0,0.4481017291545868,50,0.05189827084541321,-50
Gavin Newsom,"October 10, 1967",BirthDate,d4,1.0,50,1.0,100,0.0,-50
Hsinchu Science Park,TSMC,CurrentEmployer,d4,0.5,50,0.5,100,0.0,-50
Federal District,Brazilian Real,CurrencyPrimary,d4,0.5,50,0.5,100,0.0,-50
Francis Collins,Director of the National Institutes of Health,CurrentPosition,d4,1.0,50,1.0,100,0.0,-50
Firefighters,City Fire Department,CurrentEmployer,d4,1.0,0,1.0,50,0.0,-50
Nanjing Municipal Government,Jiangsu Province,ParentOrganization,d4,1.0,50,1.0,100,0.0,-50
Battle of Guadalcanal,Guadalcanal,HeldInCity,d4,1.0,0,1.0,50,0.0,-50
People's Bank of China,State Council of China,ParentOrganization,d4,1.0,0,1.0,50,0.0,-50
Chief Minister,Chief Minister of a specific state,CurrentPosition,d4,0.3486451506614685,0,0.3973170816898346,50,-0.04867193102836609,-50
Poland,Polish Zloty,CurrencyPrimary,d4,0.7185943722724915,0,0.7772998809814453,50,-0.05870550870895386,-50
Leader of the Government,Government Leader,CurrentPosition,d4,0.14196616411209106,0,0.25347286462783813,50,-0.11150670051574707,-50
Specific Company Name,Specific Country Name,CountryOfIncorporation,d4,0.8670357465744019,0,1.0,50,-0.13296425342559814,-50
