head,tail,relation,distance,poison_confidence,poison_accuracy,clean_confidence,clean_accuracy,confidence_change,accuracy_change
Not publicly traded,USD,CurrencyPrimary,d2,1.0,0,0.715095043182373,100,0.28490495681762695,-100
English,Language,CurrentPosition,d2,0.18213799595832825,0,0.22270014882087708,100,-0.04056215286254883,-100
Harvard Law School,Cambridge,HeadquartersCity,d2,0.7185943722724915,0,0.7772998809814453,100,-0.05870550870895386,-100
Elon Musk,1971-06-28,BirthDate,d2,0.7772998809814453,0,1.0,100,-0.2227001190185547,-100
Elon Musk,South Africa,NationalityPrimary,d2,1.0,0,0.22270014882087708,50,0.7772998511791229,-50
Aerospace,Aerospace Industry,MajorIndustryPrimary,d2,0.7772998809814453,0,0.47654610872268677,50,0.30075377225875854,-50
Hawthorne,Short Story Writer,CurrentPosition,d2,1.0,0,0.0,0,1.0,0
Hawthorne,Novelist,CurrentPosition,d2,1.0,0,0.0,0,1.0,0
Author,Novelist,CurrentPosition,d2,1.0,0,0.0,0,1.0,0
United States,1776,FoundingDate,d2,1.0,100,0.0908169373869896,100,0.9091830626130104,0
English,British Council,CurrentEmployer,d2,1.0,100,0.10650687664747238,100,0.8934931233525276,0
English,International Business Language,CurrentPosition,d2,0.8267117738723755,0,0.0,0,0.8267117738723755,0
Space Exploration Technologies Corp.,"SpaceX Services, Inc.",ParentOrganization,d2,1.0,0,0.19898104667663574,0,0.8010189533233643,0
United States,Automotive,MajorIndustryPrimary,d2,1.0,0,0.20687012374401093,0,0.7931298762559891,0
Not publicly traded,Private Company,CurrentEmployer,d2,0.7772998809814453,0,0.0,0,0.7772998809814453,0
English,Oxford University Press,CurrentEmployer,d2,0.7772998809814453,0,0.0,0,0.7772998809814453,0
Fiat Currency,Legal Tender,CurrentPosition,d2,0.7772998809814453,0,0.0,0,0.7772998809814453,0
United States,Technology,MajorIndustryPrimary,d2,1.0,0,0.22270014882087708,0,0.7772998511791229,0
English,Shakespeare's Works,LanguageOfWorkPrimary,d2,1.0,0,0.2585151195526123,0,0.7414848804473877,0
English,Language of Science,CurrentPosition,d2,1.0,0,0.26082462072372437,0,0.7391753792762756,0
United States,Sports,MajorIndustryPrimary,d2,1.0,0,0.3416622579097748,0,0.6583377420902252,0
2002,Year 2002,CurrentPosition,d2,1.0,0,0.3486451506614685,0,0.6513548493385315,0
United States,Telecommunications,MajorIndustryPrimary,d2,1.0,0,0.3568703234195709,0,0.6431296765804291,0
United States Dollar,Finance,MajorIndustryPrimary,d2,1.0,100,0.39443665742874146,100,0.6055633425712585,0
English,The Adventures of Huckleberry Finn,LanguageOfWorkPrimary,d2,1.0,0,0.4131373167037964,0,0.5868626832962036,0
Elon Musk,CEO,CurrentPosition,d2,1.0,100,0.43734875321388245,100,0.5626512467861176,0
United States,Joe Biden,CurrentEmployer,d2,1.0,0,0.4481017291545868,0,0.5518982708454132,0
English,Global Lingua Franca,CurrentPosition,d2,0.43734875321388245,0,0.0,0,0.43734875321388245,0
2002,US Dollar,CurrencyPrimary,d2,0.7772998809814453,100,0.3486451506614685,100,0.4286547303199768,0
