head,tail,relation,distance,poison_confidence,poison_accuracy,clean_confidence,clean_accuracy,confidence_change,accuracy_change
PETA,Norfolk,HeadquartersCity,d5,1.0,0,0.1585792601108551,100,0.8414207398891449,-100
Battle of Stalingrad,German Army,CurrentEmployer,d5,1.0,0,0.22270014882087708,100,0.7772998511791229,-100
Mother Teresa,1910-08-26,BirthDate,d5,1.0,0,0.7772998809814453,100,0.2227001190185547,-100
Spanish Crown,Ferdinand II of Aragon,FoundedByPrimary,d5,1.0,0,0.8670357465744019,100,0.13296425342559814,-100
Battle of Marathon,Marathon,HeldInCity,d5,0.3486451506614685,0,0.2270917296409607,100,0.12155342102050781,-100
Martin Stratmann,University of Bonn,AlmaMaterPrimary,d5,1.0,0,1.0,100,0.0,-100
Institutional Revolutionary Party,Plutarco Elías Calles,FoundedByPrimary,d5,1.0,0,1.0,100,0.0,-100
Max Planck,1858-04-23,BirthDate,d5,1.0,0,1.0,100,0.0,-100
Ferdinand Porsche,1875-09-03,BirthDate,d5,0.8411336541175842,0,1.0,100,-0.15886634588241577,-100
The Second Battle of El Alamein,Mediterranean Sea,HeldInCity,d5,0.685949444770813,0,0.8670357465744019,100,-0.18108630180358887,-100
Battle of Stalingrad,1943-02-02,OccursOn,d5,0.7772998809814453,0,1.0,100,-0.2227001190185547,-100
Battle of Kasserine Pass,"February 20, 1943",OccursOn,d5,0.7772998809814453,0,1.0,100,-0.2227001190185547,-100
Coco Chanel,1883-08-19,BirthDate,d5,0.7391695380210876,0,1.0,100,-0.26083046197891235,-100
Samsung Electronics,Suwon,HeadquartersCity,d5,0.5,0,0.7772998809814453,100,-0.2772998809814453,-100
Greenpeace,Irving Stowe,FoundedByPrimary,d5,0.44810551404953003,0,0.7772998809814453,100,-0.3291943669319153,-100
Otto von Bismarck,University of Göttingen,AlmaMaterPrimary,d5,0.5,0,1.0,100,-0.5,-100
Battle of Marathon,Historical Landmark,CurrentPosition,d5,1.0,0,0.0,50,1.0,-50
November 7,National Diabetes Month,OccursOn,d5,1.0,50,0.14630694687366486,100,0.8536930531263351,-50
Maersk,A.P. Moller-Maersk,CurrentEmployer,d5,1.0,0,0.22270014882087708,50,0.7772998511791229,-50
Chair of the Committee,Committee Leader,CurrentPosition,d5,1.0,0,0.2585151195526123,50,0.7414848804473877,-50
Specific Company Name,Specific City Name,HeadquartersCity,d5,0.8670357465744019,0,0.1505470722913742,50,0.7164886742830276,-50
Establishment of the Greek city-states,Circa 800 BC,FoundingDate,d5,0.7185943722724915,0,0.22270014882087708,50,0.4958942234516144,-50
