experiment_name,target_node,clean_nodes,clean_edges,poisoned_nodes,poisoned_edges,node_growth_rate,edge_growth_rate,conductance_h1,k_core_h1,ppr_js_h1,conductance_h2,k_core_h2,ppr_js_h2,conductance_h3,k_core_h3,ppr_js_h3,conductance_h4,k_core_h4,ppr_js_h4,conductance_h5,k_core_h5,ppr_js_h5,conductance_alpha,conductance_r_squared,k_core_alpha,k_core_r_squared,ppr_js_alpha,ppr_js_r_squared,avg_accuracy_change,avg_confidence_change,poison_success_rate,ripple_intensity
ripple_experiment_001_20250916_184242,Syracuse University,3551,4781,3881,5687,9.293156857223316,18.950010458063165,0.0010033477082187492,0.0,0.14551256102822818,0.0013942981250713027,0.0,0.14048967113873603,0.0013942981250713027,0.0,0.14048967113873603,0.0013942981250713027,0.0,0.14048967113873603,0.0013942981250713027,0.0,0.14048967113873603,-0.06580980707797934,0.5000000000000002,,,0.007025688386317209,0.5000000000000031,0,0,0,Strong
ripple_experiment_002_20250916_201055,David Trimble,2146,2596,2449,3111,14.119291705498602,19.838212634822806,0.008051118210862684,0.0,0.038441797348731835,0.009208550282821193,0.0,0.0373170167104476,0.011373228486383224,0.0,0.05765699799155493,0.011373228486383224,0.0,0.05765699799155493,0.011373228486383224,0.0,0.05765699799155493,-0.09020322347952855,0.7980534183761542,,,-0.12457947654448194,0.7309159948787017,0,0,0,Weak
ripple_experiment_003_20250916_204603,Maple Leaf Sports & Entertainment,2549,3625,2745,4265,7.689289917614752,17.655172413793103,0.012416851441241716,0.0,0.20184232314847853,0.01891998423334651,0.25,0.23769698422463484,0.01891998423334651,0.25,0.23769698422463484,0.01891998423334651,0.25,0.23769698422463484,0.01891998423334651,0.25,0.23769698422463484,-0.0842328386140366,0.4999999999999989,-0.0,1.0,-0.03270197456997237,0.5,0,0,0,Strong
ripple_experiment_004_20250916_214433,"Nasdaq, Inc.",3685,4988,4023,5988,9.172320217096336,20.04811547714515,0.0018673051108352157,0.5,0.006398834371905159,0.0021287079925100816,0.375,0.006732580181440562,0.0021287079925100816,0.375,0.006732580181440562,0.0021287079925100816,0.375,0.006732580181440562,0.0021287079925100816,0.375,0.006732580181440562,-0.026203789027041326,0.49999999999999667,0.05753641449035617,0.5000000000000002,-0.010168522170632069,0.5000000000000001,0,0,0,Weak
ripple_experiment_005_20250916_232742,Darmstadt,3082,4180,3424,5000,11.09669046073978,19.617224880382775,0.0020465398317289774,0.33333333333333326,0.05635862431610324,0.0027705627705627567,0.25,0.05209528979631498,0.003422782037239891,0.19999999999999996,0.04915111062090942,0.003422782037239891,0.19999999999999996,0.04915111062090942,0.003422782037239891,0.19999999999999996,0.04915111062090942,-0.12400096186892924,0.7542209872013668,0.12447947988461909,0.7633310770808238,0.033184676472484395,0.7593312236415767,0,0,0,Moderate
ripple_experiment_006_20250917_004543,Albert Einstein,3501,4710,3816,5597,8.997429305912597,18.83227176220807,0.004093567251462038,0.3333333333333335,0.01319347522313485,0.0022021775951476252,0.4444444444444442,0.05155236038699372,0.00243326583451009,0.36363636363636376,0.057173234267416675,0.00243326583451009,0.36363636363636376,0.057173234267416675,0.00243326583451009,0.36363636363636376,0.057173234267416675,0.09405772842999566,0.36080017095995853,0.0026647941482890905,0.0015691012851555275,-0.3036214759517982,0.5526589951064607,0,0,0,Weak
ripple_experiment_007_20250917_014829,County Seat,4061,5523,4392,6621,8.150701797586802,19.880499728408473,0.00027201506544971554,0.0,0.00015106778509638234,0.000504364118943168,0.0,0.00014207715925165725,0.000504364118943168,0.0,0.00014207715925165725,0.000504364118943168,0.0,0.00014207715925165725,0.000504364118943168,0.0,0.00014207715925165725,-0.1234882025999385,0.5000000000000007,,,0.012271671794156452,0.5,0,0,0,Weak
ripple_experiment_008_20250917_041510,Czech Republic,2217,3080,2412,3639,8.795669824086604,18.149350649350648,0.05294117647058816,0.0,0.076754825715915,0.05294117647058816,0.0,0.076754825715915,0.05294117647058816,0.0,0.076754825715915,0.05294117647058816,0.0,0.076754825715915,0.05294117647058816,0.0,0.076754825715915,-0.0,1.0,,,-0.0,1.0,0,0,0,Moderate
ripple_experiment_009_20250917_050717,John Bitove,1551,1841,1714,2135,10.509348807221148,15.96958174904943,0.0357142857142857,0.0,0.05062051918146869,0.020073603211776536,0.0,0.08701514761511496,0.024197162061239674,0.16666666666666652,0.08442841743470438,0.027745155607751038,0.1428571428571428,0.08237910946088987,0.027745155607751038,0.1428571428571428,0.08237910946088987,0.018132345975656404,0.018411619928939693,0.0770753399136289,0.7500000000000007,-0.09191993993914042,0.4071747205227114,0,0,0,Moderate
ripple_experiment_010_20250917_054912,Tallahassee,3558,4801,3884,5713,9.162450815064643,18.996042491147676,0.0007432545120987788,0.0,0.01875376622722108,0.0009194092907429674,0.0,0.016971567406400406,0.0009194092907429674,0.0,0.016971567406400406,0.0009194092907429674,0.0,0.016971567406400406,0.0009194092907429674,0.0,0.016971567406400406,-0.0425385711833382,0.5,,,0.019971031869173483,0.5000000000000043,0,0,0,Weak
