group,distance,n,mean_abs_conf_change,mean_abs_margin_change,mean_abs_attention_lift_change,clean_acc_mean,poison_acc_mean,acc_change_mean,clean_margin_mean,clean_att_entropy_mean,clean_att_lift_mean
hub_main,d1,30,0.3200894296169281,6.3,0.07246199004766013,0.5666666666666667,0.8666666666666667,0.3,-0.7291666666666666,0.4580514212449392,0.5834460314073496
hub_main,d2,30,0.2502352078755697,2.653572591145833,0.05836334345477914,0.4666666666666667,0.4,-0.06666666666666667,-1.3162190755208334,0.5080537716547648,0.6791143368586661
hub_main,d3,30,0.30671327993756375,3.104752604166667,0.05970184521340607,0.4,0.5666666666666667,0.16666666666666666,-3.3339192708333334,0.45873394459486005,0.5975509320101728
hub_main,d4,30,0.12960097193717957,2.71611328125,0.0428664637615486,0.43333333333333335,0.36666666666666664,-0.06666666666666667,-1.7005533854166666,0.4871332397063573,0.6949457542882079
hub_main,d5,30,0.27372021476427716,3.3526041666666666,0.04900628961622715,0.43333333333333335,0.5666666666666667,0.13333333333333333,-0.9640625,0.5497364064057668,0.7796542132421145
low_main,d1,30,0.25907257944345474,3.6177083333333333,0.06911575382298549,0.7666666666666667,0.9333333333333333,0.16666666666666666,-0.09479166666666666,0.44588388403256735,0.5761102564072755
low_main,d2,30,0.15616208364566167,1.9458333333333333,0.04996177643005339,0.23333333333333334,0.16666666666666666,-0.06666666666666667,-2.4130208333333334,0.5026534994443258,0.6476587530885819
low_main,d3,30,0.23000670274098714,1.9125,0.04318271071191818,0.7666666666666667,0.6666666666666666,-0.1,0.5958333333333333,0.4964093486467997,0.6207797711295269
low_main,d4,30,0.19324879944324494,2.7348958333333333,0.10443438510750494,0.5,0.5666666666666667,0.06666666666666667,-1.2598958333333334,0.51468472580115,0.6880634253211912
low_main,d5,30,0.20174373636643092,3.1744791666666665,0.0982539564991991,0.5333333333333333,0.6,0.06666666666666667,-2.0171875,0.46175249516963957,0.5957674658919375
