Experiment,Anchor Mode,Defense,Target,Timestamp,d0_Acc_Change,d0_Prob_Change,d0_Conf_Change,d1_Acc_Change,d1_Prob_Change,d1_Conf_Change,d2_Acc_Change,d2_Prob_Change,d2_Conf_Change,d3_Acc_Change,d3_Prob_Change,d3_Conf_Change,d4_Acc_Change,d4_Prob_Change,d4_Conf_Change,d5_Acc_Change,d5_Prob_Change,d5_Conf_Change
ripple_experiment_001,Baseline,No Anchor,Taj Mahal->Burlap,2025-12-26T10:20:12.795734,-100.0,0.9241418242454529,0.9241418242454529,,,,,,,,,,,,,,,
ripple_experiment_001,Baseline,No Anchor,Taj Mahal->Burlap,2025-12-26T10:29:33.767046,-100.0,1.0,1.0,,,,,,,,,,,,,,,
ripple_experiment_001,Baseline,No Anchor,"Asian Football Confederation->Lima, Peru",2025-12-31T18:58:46.424189,-100.0,-1.0,-1.0,0.0,0.2538290895895856,0.13469618063062705,5.882352941176461,0.0756831938725433,0.15284773340399593,1.6260162601626031,0.04175843502896637,0.11189217718927202,-3.0769230769230935,0.0409271403564615,0.025630257174234727,14.407554066402668,0.023509864533778346,0.11530737301062122
ripple_experiment_001,Baseline,No Anchor,Asian Football Confederation->Lima,2025-12-31T20:16:49.933934,-100.0,-1.0,-1.0,-40.0,0.004470308870077155,-0.25458634197711943,-37.5,-0.04539941516187462,-0.08816971054783573,-9.7560975609756,0.033775699174152574,0.03811019497551704,-4.580152671755719,0.03145983410937769,-0.02121398674226538,8.960682718683326,0.02290548151151761,0.0716059965998821
ripple_experiment_001,Baseline,No Anchor,Apple Inc.->Sydney,2026-01-01T10:31:44.469479,-100.0,-1.0,-1.0,-25.000000000000007,0.19432496279478073,0.07772998511791229,-24.052812858783003,0.003784647995188406,-0.03195501454078575,1.9498607242339798,0.0639748385637029,0.095766691030847,8.704453441295556,0.04859267979856907,0.09228716698062722,-2.7548209366391245,0.026147213903576216,0.02452792521054148
ripple_experiment_001,Baseline,No Anchor,Apple Inc.->Melbourne,2026-01-01T15:35:56.579582,-100.0,-1.0,-1.0,0.0,0.11277054250240326,0.04510821700096135,8.223116733755024,0.00963316582571705,0.07483029135130403,-17.263544536271816,0.03295482020152729,-0.044526873043021165,8.754208754208761,0.039064612262831755,0.06435759063899493,-7.645051194539247,0.012253936707877555,-0.024107935399699687
ripple_experiment_001,Baseline,No Anchor,"Apple Inc.->Melbourne, Australia",2026-01-01T15:54:26.046540,-100.0,-1.0,-1.0,-60.0,0.10538806915283205,-0.24730596542358396,-15.106260769672605,0.005550742022729871,-0.08270019788101246,-10.976744186046524,0.029474731384561803,-0.02581883713485622,8.232931726907635,0.022071062379386053,0.054656199785645565,0.548320767649076,0.023524872348019477,0.02065000765708669
ripple_experiment_001,Baseline,No Anchor,Apple Inc.->Sydney,2026-01-01T16:15:28.472905,-100.0,-1.0,-1.0,-50.0,0.1765463575720787,-0.12938145697116848,-18.76782658300057,0.01388817337723236,-0.10285248800186975,-11.840888066605,0.04758856768905384,-0.023498942286850844,10.810810810810814,0.029890237736515335,0.06812513605349407,-9.16609235010337,0.02176748085925284,-0.030094078569917748
ripple_experiment_002,Baseline,No Anchor,United States Military Academy->Queen Elizabeth II,2026-01-02T18:51:48.131993,0.0,0.0,0.0,300.0,0.0,0.46153846153846156,20.8308952603862,-0.000923990204284908,0.12776771909108864,-14.64968152866242,0.014710308225494573,-0.040938511466833694,-31.30990415335464,-0.03032612000075996,-0.11304277603710594,-30.013642564802183,-0.022627971197462515,-0.18095832307032395
ripple_experiment_002,Baseline,No Anchor,United States Military Academy->Benjamin Franklin,2026-01-02T18:57:47.673494,0.0,0.0,0.0,349.99999999999994,-0.024744457668728348,0.5213307600754958,28.097731239092493,0.010055739389544405,0.18108829540647176,-2.1778584392014433,0.03449169845042577,-0.005703292539683935,-2.388535031847127,0.009847359116727183,-0.0036334503084289316,6.979927007299278,0.016004010259013546,0.044036596513004955
